database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us);
sparksee;3.ResponsivenessIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;true;5227;1913,143294432753;256192,0;1;1;1,0;0,000;2;3;2,5;0,001;12;149;80,5;0,069;417664,0;40;4279;58,65899241603467;0,043;40;3089;48,960185380240155;0,035;56;4279;65,93348080265444;0,046;;;;;45;128063;5648,498023715415;15,478;
sparksee;3.ResponsivenessIndexScan;run;3;1;10000;1;1;1;50;95;0;5;0;false;true;5370;1862,1973929236499;353408,0;1;2;1,5;0,001;2;3;2,5;0,001;12;151;81,5;0,070;460672,0;40;5059;58,008441675695195;0,051;40;4635;48,48672846008005;0,049;55;5059;65,15010270184864;0,052;;;;;45;127103;5795,573122529644;15,952;
neo4j;4.ResponsivenessNoIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;;4782;0,20911752404851527;3302400,0;2;2;2,0;0,000;3;3;3,0;0,000;12;62;37,0;0,025;1041152,0;417536;417791;417664,0;0,000;417536;417791;417664,0;0,000;;;;;;;;;;;;;
neo4j;4.ResponsivenessNoIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;;5113;0,19557989438685702;3324928,0;2;2;2,0;0,000;3;3;3,0;0,000;12;62;37,0;0,025;1269248,0;502528;502783;502656,0;0,000;502528;502783;502656,0;0,000;;;;;;;;;;;;;
neo4j;4.ResponsivenessNoIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;;4685;0,21344717182497333;3304448,0;2;2;2,0;0,000;3;3;3,0;0,000;11;63;37,0;0,026;1035520,0;328192;328447;328320,0;0,000;328192;328447;328320,0;0,000;;;;;;;;;;;;;
neo4j;4.ResponsivenessNoIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;;2640402;3,78730208506129;1711616,0;1;2;1,744360902255639;0,000;3;11;10,003759398496241;0,001;16;95;65,71804511278195;0,014;2462720,0;54848;666623;119117,61772953415;41,703;54848;666623;118990,7235120304;41,730;54880;586239;119212,79341459554;41,681;;;;;71;51519;2011,1278625954199;3,373;
neo4j;4.ResponsivenessNoIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;;2697138;3,7076337955269625;1996288,0;1;2;1,8044280442804428;0,000;3;11;10,014760147601477;0,001;16;98;66,17343173431735;0,015;2352128,0;54144;980479;121675,73333333334;45,549;54144;677375;120719,9797382862;44,418;55616;980479;122392,5863542821;46,366;;;;;74;51839;2053,375954198473;3,427;
neo4j;4.ResponsivenessNoIndexScan;run;3;1;10000;1;1;1;50;95;0;5;0;false;;2602879;3,8418996810839077;1939968,0;1;2;1,8282442748091603;0,000;3;11;10,01526717557252;0,001;16;95;64,20229007633588;0,014;2212864,0;55008;674815;117421,9802804161;39,061;55008;674815;117179,35162515829;39,898;55680;575999;117603,96137406997;38,420;;;;;69;54751;1989,0515267175572;3,401;
apachejena;4.ResponsivenessNoIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;;2088;0,4789272030651341;1665536,0;2;2;2,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;197440,0;198528;198655;198592,0;0,000;198528;198655;198592,0;0,000;;;;;;;;;;;;;
apachejena;4.ResponsivenessNoIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;;2042;0,48971596474045054;1641984,0;1;1;1,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;281216,0;93696;93759;93728,0;0,000;93696;93759;93728,0;0,000;;;;;;;;;;;;;
apachejena;4.ResponsivenessNoIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;;2115;0,4728132387706856;1702400,0;1;1;1,0;0,000;2;3;2,5;0,001;11;59;35,0;0,024;239040,0;147840;147967;147904,0;0,000;147840;147967;147904,0;0,000;;;;;;;;;;;;;
apachejena;4.ResponsivenessNoIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;;2971194;3,3656503075867814;445056,0;1;2;1,100334448160535;0,000;2;3;2,9966555183946486;0,000;15;187;71,97324414715719;0,036;174784,0;57664;787455;133729,2881049299;67,125;60512;683519;133275,60320810467;66,669;57664;787455;134069,56973246793;67,462;;;;;41;362751;23757,57824427481;62,767;
apachejena;4.ResponsivenessNoIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;;3059613;3,268387211062314;432256,0;1;2;1,0749185667752443;0,000;2;3;2,996742671009772;0,000;16;195;73,74267100977198;0,036;282752,0;59264;944127;137726,9564902759;73,960;60704;681983;137376,94048121572;73,633;59264;944127;137989,4823492164;74,202;;;;;43;399359;23693,19465648855;62,992;
apachejena;4.ResponsivenessNoIndexScan;run;3;1;10000;1;1;1;50;95;0;5;0;false;;2985195;3,3498649166972343;450688,0;1;2;1,08;0,000;2;3;2,9966666666666666;0,000;15;187;71,86666666666666;0,036;230336,0;58592;857087;134378,36562641338;67,929;58592;748031;133900,51498522583;67,081;61024;857087;134736,7725186006;68,556;;;;;40;402175;23034,141221374044;60,571;
orientdb;4.ResponsivenessNoIndexScan;load;1;1;10000;1;1;1;50;95;0;5;0;false;;17263;0,05792735909169901;1,724416E7;1;2;1,3333333333333333;0,000;3;7;5,333333333333333;0,002;15;35;24,0;0,008;117,0;3734;3735;3735,0;0,000;3734;3735;3735,0;0,000;;;;;;;;;;;;;
orientdb;4.ResponsivenessNoIndexScan;load;2;1;10000;1;1;1;50;95;0;5;0;false;;14706;0,06799945600435196;1,468416E7;1;1;1,0;0,000;3;7;5,333333333333333;0,002;15;34;24,0;0,008;71,0;3518;3519;3519,0;0,000;3518;3519;3519,0;0,000;;;;;;;;;;;;;
orientdb;4.ResponsivenessNoIndexScan;load;3;1;10000;1;1;1;50;95;0;5;0;false;;15725;0,06359300476947535;1,5699968E7;1;1;1,0;0,000;3;7;5,333333333333333;0,002;15;33;23,333333333333332;0,007;91,0;3870;3871;3871,0;0,000;3870;3871;3871,0;0,000;;;;;;;;;;;;;
orientdb;4.ResponsivenessNoIndexScan;run;1;1;10000;1;1;1;50;95;0;5;0;false;;17343;576,601510695958;1239552,0;1;2;1,6666666666666667;0,000;3;7;5,333333333333333;0,002;17;160;106,66666666666667;0,064;109,0;34;202751;636,4213930348259;7,399;34;179199;553,6790840016885;6,828;35;202751;698,4813993984486;7,799;;;;;147;14159;3180,656488549618;1,992;
orientdb;4.ResponsivenessNoIndexScan;run;2;1;10000;1;1;1;50;95;0;5;0;false;;17218;580,7875479149727;1219072,0;1;1;1,0;0,000;3;7;5,333333333333333;0,002;17;91;64,0;0,033;94,0;34;337919;634,7374038896427;7,602;34;337919;668,0857956943859;8,045;34;223359;609,7247902485357;7,252;;;;;93;12079;3083,6450381679388;1,806;
