database;workloadName;phase;run;recordcount;operationcount;productsperorder;componentsperproduct;testparametercount;fieldlength;insertproportion;readproportion;scanproportion;updateproportion;onlynodes;index;overall time (ms);overall throughput (ops/sec);initialise average (ms);sys_load_avg min;sys_load_avg max;sys_load_avg average;sys_load_avg StdD;thread_count min;thread_count max;thread_count average;thread_count StdD;used_mem_mb min;used_mem_mb max;used_mem_mb average;used_mem_mb StdD;cleanup average;insert min (us);insert max (us);insert average (us);insert StdD (us);insertNode min (us);insertNode max (us);insertNode average (us);insertNode StdD (us);insertEdge min (us);insertEdge max (us);insertEdge average (us);insertEdge StdD (us);read min (us);read max (us);read average (us);read StdD (us);scan min (us);scan max (us);scan average (us);scan StdD (us)
orientdb;1.DifferenceEdgeNoIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;;8168;1224,289912;1204736;2;2;2;0;3;6;4,5;0,002;17;80;48,5;0,032;138;48;182015;667,6782;7,424;48;182015;667,6782;7,424;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;;530;1,886792453;305280;1;1;1;0;2;3;2,5;0,001;10;15;12,5;0,003;163136;991;991;991;0;991;991;991;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;;746;1,340482574;277120;2;2;2;0;2;3;2,5;0,001;10;14;12;0,002;401536;959;959;959;0;959;959;959;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;;487;2,05338809;272256;1;1;1;0;2;3;2,5;0,001;10;15;12,5;0,003;153024;987;987;987;0;987;987;987;0;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex10000Nodes;run;1;1;10000;1;1;1;10;1;0;;0;TRUE;;1329;7524,454477;201920;1;2;1,5;0,001;2;3;2,5;0,001;12;22;17;0,005;342144;39;2163;48,9826;0,027;39;2163;48,9826;0,027;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex10000Nodes;run;2;1;10000;1;1;1;10;1;0;;0;TRUE;;1285;7782,101167;290688;1;1;1;0;2;3;2,5;0,001;12;22;17;0,005;222144;39;10631;49,7789;0,108;39;10631;49,7789;0,108;;;;;;;;;;;;
sparksee;1.DifferenceEdgeNoIndex10000Nodes;run;3;1;10000;1;1;1;10;1;0;;0;TRUE;;1281;7806,401249;287104;1;1;1;0;2;3;2,5;0,001;12;19;15,5;0,004;222912;39;1104;48,9014;0,018;39;1104;48,9014;0,018;;;;;;;;;;;;
apachejena;1.DifferenceEdgeNoIndex10000Nodes;load;1;1;10000;1;1;1;10;1;0;;0;TRUE;;2389;0,418585182;1963520;2;2;2;0;2;3;2,5;0,001;11;59;35;0,024;241600;160640;160767;160704;0;160640;160767;160704;0;;;;;;;;;;;;
apachejena;1.DifferenceEdgeNoIndex10000Nodes;load;2;1;10000;1;1;1;10;1;0;;0;TRUE;;2202;0,454132607;1763840;1;1;1;0;2;3;2,5;0,001;11;59;35;0,024;214208;200832;200959;200896;0;200832;200959;200896;0;;;;;;;;;;;;
apachejena;1.DifferenceEdgeNoIndex10000Nodes;load;3;1;10000;1;1;1;10;1;0;;0;TRUE;;2183;0,458085204;1795584;1;1;1;0;2;3;2,5;0,001;12;59;35,5;0,024;213056;149376;149503;149440;0;149376;149503;149440;0;;;;;;;;;;;;
